type1,type2,weight_kg,generation,is_legendary
normal,flying,15,5,0
normal,flying,29,5,0
electric,,29.8,5,0
electric,,79.5,5,0
rock,,18,5,0
rock,,102,5,0
rock,,260,5,0
psychic,flying,2.1,5,0
psychic,flying,10.5,5,0
ground,,8.5,5,0
ground,steel,40.4,5,0
normal,,31,5,0
fighting,,12.5,5,0
fighting,,40,5,0
fighting,,87,5,0
water,,4.5,5,0
water,ground,17,5,0
water,ground,62,5,0
fighting,,55.5,5,0
fighting,,51,5,0
bug,grass,2.5,5,0
bug,grass,7.3,5,0
bug,grass,20.5,5,0
bug,poison,5.3,5,0
bug,poison,58.5,5,0
bug,poison,200.5,5,0
grass,fairy,0.6,5,0
grass,fairy,6.6,5,0
grass,,6.6,5,0
grass,,16.3,5,0
water,,18,5,0
ground,dark,15.2,5,0
ground,dark,33.4,5,0
ground,dark,96.3,5,0
fire,,37.5,5,0
fire,fire,92.9,5,0
grass,,28,5,0
bug,rock,14.5,5,0
bug,rock,200,5,0
dark,fighting,11.8,5,0
dark,fighting,30,5,0
psychic,flying,14,5,0
ghost,,1.5,5,0
ghost,,76.5,5,0
water,rock,16.5,5,0
water,rock,81,5,0
rock,flying,9.5,5,0
rock,flying,32,5,0
poison,,31,5,0
poison,,107.3,5,0
dark,,12.5,5,0
dark,,81.1,5,0
normal,,5.8,5,0
normal,,7.5,5,0
psychic,,5.8,5,0
psychic,,18,5,0
psychic,,44,5,0
psychic,,1,5,0
psychic,,8,5,0
psychic,,20.1,5,0
water,flying,5.5,5,0
water,flying,24.2,5,0
ice,,5.7,5,0
ice,,41,5,0
ice,,57.5,5,0
normal,grass,19.5,5,0
normal,grass,92.5,5,0
electric,flying,5,5,0
bug,,5.9,5,0
bug,steel,33,5,0
grass,poison,1,5,0
grass,poison,10.5,5,0
water,ghost,33,5,0
water,ghost,135,5,0
water,,31.6,5,0
bug,electric,0.6,5,0
bug,electric,14.3,5,0
grass,steel,18.8,5,0
grass,steel,110,5,0
steel,,21,5,0
steel,,51,5,0
steel,,81,5,0
electric,,0.3,5,0
electric,,22,5,0
electric,,80.5,5,0
psychic,,9,5,0
psychic,,34.5,5,0
ghost,fire,3.1,5,0
ghost,fire,13,5,0
ghost,fire,34.3,5,0
dragon,,18,5,0
dragon,,36,5,0
dragon,,105.5,5,0
ice,,8.5,5,0
ice,,260,5,0
ice,,148,5,0
bug,,7.7,5,0
bug,,25.3,5,0
ground,electric,11,5,0
fighting,,20,5,0
fighting,,35.5,5,0
dragon,,139,5,0
ground,ghost,92,5,0
ground,ghost,330,5,0
dark,steel,10.2,5,0
dark,steel,70,5,0
normal,,94.6,5,0
normal,flying,10.5,5,0
normal,flying,41,5,0
dark,flying,9,5,0
dark,flying,39.5,5,0
fire,,58,5,0
bug,steel,33,5,0
dark,dragon,17.3,5,0
dark,dragon,50,5,0
dark,dragon,160,5,0
bug,fire,28.8,5,0
bug,fire,46,5,0
steel,fighting,250,5,1
rock,fighting,260,5,1
grass,fighting,200,5,1
flying,,63,5,1
electric,flying,61,5,1
dragon,fire,330,5,1
dragon,electric,345,5,1
ground,flying,68,5,1
dragon,ice,325,5,1
water,fighting,48.5,5,1
normal,psychic,6.5,5,1
bug,steel,82.5,5,1
grass,,9,6,0
grass,,29,6,0
grass,fighting,90,6,0
fire,,9.4,6,0
fire,,14.5,6,0
fire,psychic,39,6,0
water,,7,6,0
water,,10.9,6,0
water,dark,40,6,0
normal,,5,6,0
normal,ground,42.4,6,0
normal,flying,1.7,6,0
fire,flying,16,6,0
fire,flying,24.5,6,0
bug,,2.5,6,0
bug,,8.4,6,0
bug,flying,17,6,0
fire,normal,13.5,6,0
fire,normal,81.5,6,0
fairy,,0.1,6,0
fairy,,0.9,6,0
fairy,,10,6,0
grass,,31,6,0
grass,,91,6,0
fighting,,8,6,0
fighting,dark,136,6,0
normal,,28,6,0
psychic,,3.5,6,0
psychic,,8.5,6,0
steel,ghost,2,6,0
steel,ghost,4.5,6,0
steel,ghost,53,6,0
fairy,,0.5,6,0
fairy,,15.5,6,0
fairy,,3.5,6,0
fairy,,5,6,0
dark,psychic,3.5,6,0
dark,psychic,47,6,0
rock,water,31,6,0
rock,water,96,6,0
poison,water,7.3,6,0
poison,dragon,81.5,6,0
water,,8.3,6,0
water,,35.3,6,0
electric,normal,6,6,0
electric,normal,21,6,0
rock,dragon,26,6,0
rock,dragon,270,6,0
rock,ice,25.2,6,0
rock,ice,225,6,0
fairy,,23.5,6,0
fighting,flying,21.5,6,0
electric,fairy,2.2,6,0
rock,fairy,5.7,6,0
dragon,,2.8,6,0
dragon,,17.5,6,0
dragon,,150.5,6,0
steel,fairy,3,6,0
ghost,grass,7,6,0
ghost,grass,71,6,0
ghost,grass,15,6,0
ghost,grass,39,6,0
ice,,99.5,6,0
ice,,505,6,0
flying,dragon,8,6,0
flying,dragon,85,6,0
fairy,,215,6,1
dark,flying,203,6,1
dragon,ground,284.6,6,1
rock,fairy,8.8,6,1
psychic,ghost,,6,1
fire,water,195,6,1
grass,flying,1.5,7,0
grass,flying,16,7,0
grass,ghost,36.6,7,0
fire,,4.3,7,0
fire,,25,7,0
fire,dark,83,7,0
water,,7.5,7,0
water,,17.5,7,0
water,fairy,44,7,0
normal,flying,1.2,7,0
normal,flying,14.8,7,0
normal,flying,26,7,0
normal,,6,7,0
normal,,14.2,7,0
bug,,4.4,7,0
bug,electric,10.5,7,0
bug,electric,45,7,0
fighting,,7,7,0
fighting,ice,180,7,0
fire,flying,3.4,7,0
bug,fairy,0.2,7,0
bug,fairy,0.5,7,0
rock,,9.2,7,0
rock,,,7,0
water,,0.3,7,0
poison,water,8,7,0
poison,water,14.5,7,0
ground,,110,7,0
ground,,920,7,0
water,bug,4,7,0
water,bug,82,7,0
grass,,1.5,7,0
grass,,18.5,7,0
grass,fairy,1.5,7,0
grass,fairy,11.5,7,0
poison,fire,4.8,7,0
poison,fire,22.2,7,0
normal,fighting,6.8,7,0
normal,fighting,135,7,0
grass,,3.2,7,0
grass,,8.2,7,0
grass,,21.4,7,0
fairy,,0.3,7,0
normal,psychic,76,7,0
fighting,,82.8,7,0
bug,water,12,7,0
bug,water,108,7,0
ghost,ground,70,7,0
ghost,ground,250,7,0
water,,1.2,7,0
normal,,120.5,7,0
normal,,100.5,7,0
rock,flying,40,7,0
normal,,19.9,7,0
fire,dragon,212,7,0
electric,steel,3.3,7,0
ghost,fairy,0.7,7,0
water,psychic,19,7,0
normal,dragon,185,7,0
ghost,grass,210,7,0
dragon,,29.7,7,0
dragon,fighting,47,7,0
dragon,fighting,78.2,7,0
electric,fairy,20.5,7,1
psychic,fairy,18.6,7,1
grass,fairy,45.5,7,1
water,fairy,21.2,7,1
psychic,,0.1,7,1
psychic,,999.9,7,1
psychic,steel,230,7,1
psychic,ghost,120,7,1
rock,poison,55.5,7,1
bug,fighting,333.6,7,1
bug,fighting,25,7,1
electric,,100,7,1
steel,flying,999.9,7,1
grass,steel,0.1,7,1
dark,dragon,888,7,1
psychic,,230,7,1
steel,fairy,80.5,7,1
